"QUXVlc3Rpb246MTY5","Que pensez-vous de l'organisation de l'Etat et des administrations en France ? De quelle manière cette organisation devrait-elle évoluer ?"
"QUXVlc3Rpb246MTcw","Selon vous, l'Etat doit-il aujourd'hui transférer de nouvelles missions aux collectivités territoriales ?"
"QUXVlc3Rpb246MTcx","Si oui, lesquelles ?"
"QUXVlc3Rpb246MjA0","Estimez-vous avoir accès aux services publics dont vous avez besoin ?"
"QUXVlc3Rpb246MTcy","Si non, quels types de services publics vous manquent dans votre territoire et qu'il est nécessaire de renforcer ?"
"QUXVlc3Rpb246MTc0","Quels nouveaux services ou quelles démarches souhaitez-vous voir développées sur Internet en priorité ?"
"QUXVlc3Rpb246MTc1","Avez-vous déjà utilisé certaines de ces nouvelles formes de services publics ?"
"QUXVlc3Rpb246MTc2","Si oui, en avez-vous été satisfait ?"
"QUXVlc3Rpb246MTc3","Quelles améliorations préconiseriez-vous ?"
"QUXVlc3Rpb246MTc4","Quand vous pensez à l'évolution des services publics au cours des dernières années, quels sont ceux qui ont évolué de manière positive ?"
"QUXVlc3Rpb246MTc5","Quels sont les services publics qui doivent le plus évoluer selon vous ?"
"QUXVlc3Rpb246MTgw","Connaissez-vous le 'droit à l'erreur', c'est-à-dire le droit d'affirmer votre bonne foi lorsque vous faites un erreur dans vos déclarations ?"
"QUXVlc3Rpb246MTgx","Si oui, avez-vous déjà utilisé ce droit à l'erreur ?"
"QUXVlc3Rpb246MTgy","Si oui, à quelle occasion en avez-vous fait usage ?"
"QUXVlc3Rpb246MTgz","Pouvez-vous identifier des règles que l'administration vous a déjà demandé d'appliquer et que vous avez jugées inutiles ou trop complexes ?"
"QUXVlc3Rpb246MTg0","Faut-il donner plus d'autonomie aux fonctionnaires de terrain ?"
"QUXVlc3Rpb246MTg1","Si oui, comment ?"
"QUXVlc3Rpb246MTg2","Faut-il revoir le fonctionnement et la formation de l'administration ?"
"QUXVlc3Rpb246MTg3","Si oui, comment ?"
"QUXVlc3Rpb246MTg4","Comment l'Etat et les collectivités territoriales peuvent-ils s'améliorer pour mieux répondre aux défis de nos territoires les plus en difficulté ?"
"QUXVlc3Rpb246MTkx","Si vous avez été amené à chercher une formation, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTky","Si vous avez été amené à scolariser votre enfant, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTkz","Si vous avez été amené à chercher un emploi, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTk0","Si vous avez été amené à préparer votre retraite, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTk1","Si vous avez été amené à demander un remboursement de soins de santé, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTk2","Si vous avez été amené à faire une demande d'aide pour une situation de handicap, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTk4","Si vous avez été amené à créer une entreprise, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTk5","Si vous avez été amené à recruter du personnel, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MjAw","Si vous avez été amené à former du personnel, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MjAx","Si vous avez été amené à rémunérer du personnel, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MjAy","Si vous avez été amené à mettre fin à votre activité, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MjAz","Si vous avez été amené à recruter une personne portant un handicap, pouvez-vous indiquer les éléments de satisfaction et/ou les difficultés rencontrés en précisant, pour chaque point, l'administration concernée :"
"QUXVlc3Rpb246MTg5","Y a-t-il d'autres points sur l'organisation de l'Etat et des services publics sur lesquels vous souhaiteriez vous exprimer ?"
